名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
地板 强化复合地板 耐磨复合木地板大板 对木纹强化地板 A-923 防水款,99.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,其他,12mm,强化复合地板,博典官方旗舰店,0,0,0,0
地板 强化复合地板 耐磨复合木地板大板 对木纹强化地板 DL-2 防水款,99.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,其他,12mm,强化复合地板,博典官方旗舰店,0,1,0,0
地板 强化复合地板 耐磨复合木地板大板 对木纹强化地板 X-001 防水款,99.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,其他,12mm,强化复合地板,博典官方旗舰店,0,0,0,0
地板 强化复合地板 现代简约耐磨复合木地板 对木纹强化地板 JPDS8001-2 普通款,79.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,12mm,强化复合地板,博典官方旗舰店,6,8,0,0
地板卧室客厅木地板多层实木复合地板地暖15mm 比尔摩庄园NAN8171裸板价,248.00 ,9.76,9.78,9.85,9.84,圣象（Power Dekor）,300.00g,平口,15mm,实木复合地板,弘软家装建材专营店,0,0,0,0
帝诺居 A级白蜡木平面原木木地板大品牌厂家直销 地热地暖锁扣纯实木地板 白蜡木 平扣款,255.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,2,20,0,0
帝诺居 A级老榆木仿古浮雕地板 品牌大厂家自然美观直销 宽板纯实木地板 B051红色,219.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,0,2,0,0
帝诺居 A级欧洲枫木原木金刚平面纯实木地板 大品牌美观自然厂家直销 北欧枫木图片色 910X123X18,168.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,2,7,0,0
帝诺居 番龙眼小菠萝格橡木红橡纹仿古手抓纹大自然环保仿古 纯实木地板 红橡仿古色 910X122X18,155.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,14,40,0,0
帝诺居 非洲进口圆盘豆原木柚木色 地热地暖锁扣免龙骨纯实木地板 圆盘豆A021柚木色 平扣款910X123X18,200.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,7,40,0,0
帝诺居 进口A级橡木仿古手抓纹 地热地暖锁扣免龙骨纯实木地板 B032中色 平扣款910X125X18,258.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,0,2,0,0
帝诺居 全A级白蜡木 仿古原木木地板品牌厂家直销 大品牌自然美观纯实木地板 B025,268.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,0,1,0,0
帝诺居 全A级纽墩豆非洲柚木原木 地暖地热锁扣免龙骨 大厂品牌直销自然环保纯实木地板 A052本色亮光 平扣款910X122X18,189.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,2,10,0,0
帝诺居白蜡木 全A级仿古原木木地板品牌厂家直销 地热地暖锁扣纯实木地板 910X125,258.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,0,3,0,0
帝诺居厂家直销橡木栎木 全a级板18mm平面 金刚面地热地暖锁扣纯实木地板 A071本色 锁扣款900X118X18,340.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,2,7,0,0
帝诺居地板 白蜡木实木地板 仿古哑光 自然美观大品牌纯实木地板 B024,268.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,0,1,0,0
帝诺居全A级 正宗缅甸国宝柚木万木之王 地热地暖免龙骨纯实木地板 缅甸柚木A101 定制锁扣款900X118X18,550.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,0,2,0,0
帝诺居全A级100%进口柚木色番龙眼 厂家直销平面哑光 纯实木地板 番龙眼A014,135.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,平口,18mm,实木地板,帝诺居地板官方旗舰店,0,4,0,0
帝诺居全A级美国红橡木22mm厚仿古 地暖地热锁扣免龙骨纯实木地板 红橡B035  平扣款910X125X18,315.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,其他,实木地板,帝诺居地板官方旗舰店,2,10,0,0
帝诺居全A级印尼印茄木大菠萝格 地暖地热锁扣免龙骨大品牌自然纯实木地板 菠萝格锁扣900X115X18 910X120,318.00 ,9.64,9.64,9.66,9.67,帝诺居,20.0kg,其他,18mm,实木地板,帝诺居地板官方旗舰店,1,2,0,0
帝资板材美国进口花旗松炭化木地板户外室内地板防腐木碳化木（欢迎定制）8*40*4000,11.00 ,9.29,9.27,9.35,9.29,帝资,2.0kg,,,,帝资旗舰店,0,4,0,1
定制款 考斯菲尔 斯琪纯白 12mm强化复合木地板 实测甲醛E0 耐脏耐磨 WD-8669,198.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.875kg,其他,12mm,强化复合地板,考斯菲尔旗舰店,0,0,0,0
飞美德国原装进口爱格地板 环保防水耐用地暖耐磨 7mm 客厅卧室强化复合木地板 海岸木纹 H1074,119.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,7mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板奥地利帝罗地板 环保地暖耐磨 10mm 客厅卧室高科技复合木地板 阿尔皮纳松木 TAT537,422.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板德国爱格地板 环保防水耐用地暖耐磨 11mm客厅卧室强化复合木地板 曼索尼亚胡桃 H2772,359.00 ,9.65,9.36,9.84,9.86,飞美,9.8kg,单锁口,,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国爱格地板 环保防水耐用地暖耐磨 8mm 客厅卧室强化复合木地板 阿灵顿白橡 H2756,273.00 ,9.65,9.36,9.84,9.86,飞美,7.25kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国爱格地板 环保防水耐用地暖耐磨 8mm 客厅卧室强化复合木地板 山谷原橡 H1001,264.00 ,9.65,9.36,9.84,9.86,飞美,8.0kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国爱格地板 美式田园防水耐磨地热 8mm 客厅卧室强化复合木地板 田纳西橡木 H1009,189.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国进口爱格地板 8mmE0环保高耐磨防水 客厅卧室强化复合木地板 田园金橡 H2735,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国进口爱格地板 环保防水耐磨地暖8mm  客厅卧室强化复合木地板 冰岛白橡 H2350,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口 浮雕面爱格橡木 8mm 客厅卧室强化复合木地板 意大利山地白橡 H1053,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防潮地暖耐磨7mm  客厅卧室强化复合木地板 古典樱桃 H2682,119.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,7mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防潮耐用地暖 8mm客厅卧室强化复合木地板 乱世佳人 H1027,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水地暖耐磨 7mm 客厅卧室强化复合木地板 地中海胡桃 H2580,219.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,7mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水地暖耐磨 7mm 客厅卧室强化复合木地板 西部白橡 H1023,119.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,7mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水地暖耐磨 8mm 客厅卧室强化复合木地板 阿灵顿橡木 H2733,224.00 ,9.65,9.36,9.84,9.86,飞美,7.25kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水地暖耐磨 8mm 客厅卧室强化复合木地板 湖畔橡木 H1018,236.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水地暖耐磨 8mm 客厅卧室强化复合木地板 米兰月光 CFA510,189.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,3,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖 8mm 客厅卧室强化复合木地板 山谷彩橡 H1022,189.00 ,9.65,9.36,9.84,9.86,飞美,8.0kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖8mm 客厅卧室强化复合木地板 阿罗莎雪梨木 MOD403,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,1,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖耐磨 8mm 客厅强化复合木地板 波本橡木 EEI500,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,1,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖耐磨 8mm 客厅卧室强化复合木地板 玛宝 BEA306,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖耐磨 8mm客厅卧室强化复合木地板 烟云古堡 BEA302,179.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板 环保防水耐用地暖耐磨8mm  客厅强化复合木地板 西班牙深橡 H1004,296.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板德国原装进口爱格地板环保防水防滑地暖橡木7mm 客厅卧室强化复合木地板 白色幻想 EU4018,119.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,7mm,强化复合地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm 客厅卧室复合木地板 舍德兰橡木 TAT533,422.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm 客厅卧室复合木地板 艺廊橡木 TAT531,422.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm 客厅卧室高科技复合木地板 斑驳橡木 TAT535,422.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm 客厅卧室高科技复合木地板 帕图斯 TLL708,568.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm客厅卧室复合木地板  毕加索云杉 TAT536,422.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 10mm客厅卧室高科技复合木地板 安提瓜软木 TAT715,433.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,10mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 客厅卧室高科技复合木地板 冰结风情 TAT716,433.00 ,9.65,9.36,9.84,9.86,飞美,80.00g,单锁口,12mm,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美地板原装进口奥地利帝罗地板 环保地暖耐磨 客厅卧室高科技复合木地板 黑黄檀 THB503,877.00 ,9.65,9.36,9.84,9.86,飞美,0.75kg,单锁口,其他,其他材质地板,飞美地板旗舰店,0,0,0,0
飞美进口地板德国爱格 家用耐磨防水地热环保 8mm客厅卧室强化复合木地板  烟雨白杨 H1067,159.00 ,9.65,9.36,9.84,9.86,飞美,7.15kg,单锁口,8mm,强化复合地板,飞美地板旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板 12mm 超强耐磨F-417 康德橡木厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板 12mm超强耐磨F-361 波茨坦橡木 厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,V型槽,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板11.7mm超强耐磨 O-413 莱比锡山核桃 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板12.3mm超强耐磨 V-419科特布斯橡木 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板12.3mm超强耐磨 V-445 阿沙芬堡 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板12mm超强耐磨 F-320 卡伦德橡木 厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,V型槽,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合 木地板12mm超强耐磨 F-467 魔笛咏叹 厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化 复合木地板 11.7mm超强耐磨 O-443 德普尔橡木厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化复合 木地板 12.3mm Q-441 埃德卡美学 可贴墙 厂家直销,428.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.32kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化复合木地板 12.3mm Q-394 梅塞尔印迹 可贴墙厂家直销,428.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.32kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化复合木地板12.3mmQ-392 经典世界版图 可贴墙 厂家直销,428.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.32kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 德国 强化复合木地板13.5mm超强耐磨 W-398伊利亚特橡木厂家直销,468.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,33.0kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 地板 德国 强化 复合 木地板 F-382 维尔茨堡橡木 12mm厂家直销,308.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 地板 德国 强化 复合 木地板 F-384 弗赖堡橡木 12mm厂家直销,308.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔 地板 德国 强化 复合 木地板 F-385 梅塞尔橡木 12mm厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,V型槽,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德 强化复合木地板12.3mm超强耐磨 V421 韦斯特橡木 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国 强化复合木地板13.5mm超强耐磨 W-269马尔代夫海滩 厂家直销,458.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,33.0kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国地板强化复合木地板12.3mm 超强耐磨防水环保6-227直纹青柚 厂家直销,228.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实复合环保木地板15mm超强防水理想家条纹乌木I01罗森博格厂家直销,1328.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复 合环保木地板15mm耐用防水新古典主义黑核桃15圣殿诗刻厂家直销,618.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板 15mm防水 耐用语V+白栎82梦幻花园厂家直销,1178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板 15mm耐用防水新古典主义白栎06镌刻时光厂家直销,618.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板15mm防水 理想家-黑核桃 I02圣安德烈厂家直销,1328.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板15mm耐用防水古典主义白栎C03庞贝古城厂家直销,648.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,14.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板15mm耐用防水未来主黑核桃15 鎏金古道 厂家直销,1008.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,14.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板15mm耐用防水新古典主义白栎02流金岁月 厂家直销,618.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板耐用防水森语V+白栎85 寂静山林 15mm厂家直销,1178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合环保木地板耐用防水森语V+柚木08 王者归来 15mm厂家直销,1178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国多层实木复合木地板15mm耐用防水未来主义柚木15金秋庄园厂家直销,1078.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,14.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.0mm防水超强 I-471布拉格橡木厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,18.8kg,其他,,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.0mm防水超强耐磨 I-472 梵蒂冈童话厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,18.8kg,其他,,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.0mm防水超强耐磨 I-474 伊甸园之秋厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,18.8kg,其他,,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.3mm 防水超强耐磨H-362 玛格丽特橡木厂家直销,178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.3mm超强防水耐磨 H-365 浪漫轻舞 厂家直销,178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.3mm防水超强耐磨 H-260 卡门橡木 厂家直销,178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.3mm防水超强耐磨H-363波恩橡木厂家直销,178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm 防水超强耐磨M-301 伯尔尼橡木 厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm超强防水 耐磨M-318 萨摩亚橡木厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm超强耐磨M-253 斯堪维亚柚木厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm防水超强耐磨M-178巴西柚木厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm防水超强耐磨M-317艾尔斯橡木 厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11.7mm防水超强耐磨M-456经典橡木厂家直销,208.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板11mm防水超强耐磨R-436爱丁堡橡木厂家直销,158.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合环保木地板8.3mm防水超强耐磨 X-207 海伦橡木 厂家直销,138.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板 12mm超强耐磨 F-418 沃尔夫橡木厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板 F-452 超强耐磨勃兰登堡 12mm厂家直销,288.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.0kg,其他,12mm,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板11mm防水超强耐磨R-366海德堡橡木厂家直销,158.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,其他,,强化复合地板,菲林格尔官方旗舰店,0,1,0,0
菲林格尔德国强化复合木地板12.3mm 超强耐磨6-208墨尔本甲板木 厂家直销,228.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,22.18kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板12.3mm超强耐磨 V-427 布伦瑞克橡木 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板12.3mm超强耐磨 V-446 波登湖 厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国强化复合木地板12.3mm超强耐磨V-449罗曼式抽象厂家直销,278.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.4kg,其他,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔德国实木多层复合木地板 15mm 环保防水木语 桦木91 天丝玛瑙 厂家直销,479.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,15.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔地板德国多层实木复合环保木地板15mm耐用防水森语V+白栎86 月光水岸 厂家直销,1178.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,20.0kg,其他,15mm,实木复合地板,菲林格尔官方旗舰店,0,0,0,0
菲林格尔地板德国强化复合木地板13.5mm超强耐磨 W-270 巴赫的仰望厂家直销,458.00 ,9.56,9.89,-----,-----,菲林格尔（Vohringer）,33.0kg,V型槽,其他,强化复合地板,菲林格尔官方旗舰店,0,0,0,0
福人纯实木地板18mm厂家直销环保健康地暖江槟木 CYP1779,358.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,20.0kg,平口,18mm,实木地板,福人地板旗舰店,0,0,0,0
福人纯实木地板18mm番龙眼仿古手抓压花橡木纹厂家直销 CSP0967,329.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,20.0kg,平口,18mm,实木地板,福人地板旗舰店,0,0,0,0
福人纯实木地板圆盘豆仿古手抓纹18mm本色厂家直销 CSP1165,396.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,20.0kg,平口,18mm,实木地板,福人地板旗舰店,0,0,0,0
福人多层实木复合木地板15mm沙比利地暖型耐磨 DYP1508沙比利,209.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,20.0kg,平口,15mm,实木复合地板,福人地板旗舰店,0,0,0,0
福人净化强化复合木地板12mm防潮环保E0地暖手抓纹 返璞归真ZMZZ008,119.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,43.4kg,其他,12mm,强化复合地板,福人地板旗舰店,0,10,0,0
